member_id,barcode
1,350514178
2,257446402
3,256845318
4,869964814
5,487325201
6,249284113
7,244250134
8,469472791
9,111851033
10,993860633
11,776958494
12,722844195
13,210869795
14,937479719
15,137767464
16,817379882
17,953194538
18,958181933
19,252287024
20,871651378
21,579771956
22,951569978
23,212025915
24,815536187
25,424958531
26,134550597
27,255828549
28,858475594
29,548291659
30,344088653
31,220189262
32,812505680
33,227360337
34,994463826
35,767532115
36,246221907
37,870017108
38,202457170
39,870323281
40,761198160
41,696586329
42,357906521
43,305714270
44,837606497
45,699576931
46,756393062
47,772236392
48,869787243
49,286163566
50,676432503
51,108410999
52,746344567
53,253385851
54,807578750
55,710758015
56,579364998
57,459859590
58,540161159
59,598749833
60,279015562
61,457439884
62,282733197
63,972993678
64,723805327
65,878245521
66,247644313
67,357272730
68,502293149
69,904819874
70,449696418
71,767454884
72,216051365
73,518245026
74,506117799
75,889996969
76,557088938
77,191562411
78,897207468
79,950278830
80,321654448
81,688369329
82,699540658
83,869473459
84,143993008
85,122895541
86,265440437
87,374004405
88,251426486
89,434692792
90,497057463
91,873343163
92,557395132
93,948275388
94,427509438
95,696490175
96,660491972
97,185937095
98,622005447
99,726316232
100,468535499
101,441994445
102,357876436
103,527849174
104,809759960
105,833517273
106,642028269
107,553660142
108,332515060
109,550514932
110,281879286
111,166068991
112,482471168
113,908168448
114,299658498
115,325165315
116,632404740
117,139549445
118,701440263
119,825840391
120,446307593
121,909954314
122,876458763
123,299880723
124,402773781
125,489159445
126,631261976
127,337425688
128,228930338
129,193295138
130,804938533
131,230042918
132,113835815
133,233615658
134,458368299
135,585004332
136,830021941
137,697741625
138,444898106
139,895010619
140,783678273
141,209828674
142,162017602
143,656844102
144,474619719
145,516830536
146,564956489
147,220991305
148,852649803
149,619657042
150,177511253
151,665980758
152,955012953
153,284539227
154,546094941
155,782124386
156,987141475
157,718052195
158,224904549
159,949177194
160,382353258
161,544584556
162,807413104
163,139080050
164,909392244
165,308038011
166,964530558
167,535947657
168,849869706
169,113876366
170,145606544
171,795668374
172,992688023
173,762677142
174,176267161
175,838009242
176,681551773
177,973166494
178,352483744
179,958728099
180,874067370
181,241018282
182,365328303
183,390746544
184,620263347
185,320899513
186,274307007
187,328086466
188,888472006
189,296294854
190,618579911
191,884693450
192,928059851
193,112626124
194,597542860
195,939334604
196,857922005
197,358780375
198,892428761
199,274618845
200,868676578
201,288201699
202,911090659
203,817464810
204,303242731
205,758577643
206,481910253
207,291590641
208,443451894
209,625070071
210,228149240
211,537373686
212,674096124
213,755958777
214,458314238
215,219612159
