member_id,barcode,visits
1,350514178,"['v163', 'v327', 'v311']"
2,257446402,"['v348', 'v99']"
3,256845318,"['v148', 'v252']"
4,869964814,['v210']
5,487325201,[]
6,249284113,['v380']
7,244250134,"['v66', 'v49', 'v63', 'v67', 'v61', 'v57', 'v52', 'v51', 'v60', 'v54', 'v58', 'v64', 'v50', 'v55', 'v62', 'v53', 'v56', 'v59', 'v65']"
8,469472791,[]
9,111851033,['v302']
10,993860633,['v188']
11,776958494,['v291']
12,722844195,"['v274', 'v276']"
13,210869795,"['v264', 'v310']"
14,937479719,['v353']
15,137767464,['v262']
16,817379882,"['v167', 'v223']"
17,953194538,[]
18,958181933,[]
19,252287024,"['v247', 'v230']"
20,871651378,"['v242', 'v189', 'v343']"
21,579771956,['v207']
22,951569978,['v234']
23,212025915,['v169']
24,815536187,[]
25,424958531,"['v141', 'v93']"
26,134550597,['v196']
27,255828549,"['v201', 'v244']"
28,858475594,[]
29,548291659,"['v38', 'v28', 'v47', 'v29', 'v40', 'v34', 'v35', 'v32', 'v37', 'v41', 'v31', 'v30', 'v33', 'v46', 'v48', 'v44', 'v45', 'v39', 'v36', 'v27', 'v42', 'v43']"
30,344088653,"['v203', 'v256', 'v157']"
31,220189262,"['v152', 'v269', 'v142']"
32,812505680,['v149']
33,227360337,[]
34,994463826,"['v354', 'v318']"
35,767532115,['v172']
36,246221907,['v246']
37,870017108,['v255']
38,202457170,"['v205', 'v140']"
39,870323281,[]
40,761198160,"['v273', 'v347', 'v340']"
41,696586329,['v372']
42,357906521,"['v257', 'v160']"
43,305714270,"['v100', 'v153', 'v362', 'v143']"
44,837606497,"['v118', 'v161']"
45,699576931,"['v174', 'v215', 'v212']"
46,756393062,[]
47,772236392,['v325']
48,869787243,['v351']
49,286163566,[]
50,676432503,['v229']
51,108410999,['v204']
52,746344567,['v296']
53,253385851,[]
54,807578750,['v178']
55,710758015,"['v377', 'v237']"
56,579364998,"['v328', 'v119', 'v277']"
57,459859590,"['v176', 'v245', 'v374', 'v191']"
58,540161159,['v102']
59,598749833,"['v185', 'v292', 'v126']"
60,279015562,"['v339', 'v295']"
61,457439884,"['v187', 'v128']"
62,282733197,['v115']
63,972993678,"['v282', 'v338', 'v231']"
64,723805327,[]
65,878245521,"['v341', 'v194']"
66,247644313,['v182']
67,357272730,[]
68,502293149,[]
69,904819874,['v303']
70,449696418,"['v266', 'v137', 'v135', 'v155', 'v304']"
71,767454884,"['v89', 'v92', 'v83', 'v85', 'v87', 'v90', 'v88', 'v91', 'v84', 'v86']"
72,216051365,"['v130', 'v289']"
73,518245026,[]
74,506117799,[]
75,889996969,"['v206', 'v190', 'v297']"
76,557088938,[]
77,191562411,"['v218', 'v369']"
78,897207468,['v114']
79,950278830,"['v222', 'v109']"
80,321654448,"['v158', 'v319']"
81,688369329,['v326']
82,699540658,[]
83,869473459,[]
84,143993008,"['v225', 'v238', 'v236', 'v132', 'v241']"
85,122895541,[]
86,265440437,['v330']
87,374004405,[]
88,251426486,[]
